"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.09.2026","382,53","380,33","385,26","380,12","149,37K","-0,43%"
"03.09.2026","384,19","382,06","386,20","377,71","215,16K","1,22%"
"02.09.2026","379,56","374,93","383,80","372,52","278,60K","1,89%"
"01.09.2026","372,52","366,02","374,36","364,49","293,93K","1,68%"
"31.08.2026","366,38","372,48","373,47","365,65","389,09K","-0,55%"
"28.08.2026","368,40","377,79","377,79","367,96","554,80K","-1,29%"
"27.08.2026","373,20","380,99","383,01","372,09","310,58K","-2,44%"
"26.08.2026","382,55","382,88","385,97","380,88","240,57K","-0,20%"
"25.08.2026","383,30","381,54","383,69","375,21","214,64K","0,94%"
"24.08.2026","379,74","379,09","381,54","375,18","199,26K","0,20%"
"21.08.2026","378,97","375,09","379,83","373,72","192,83K","2,37%"
"20.08.2026","370,21","368,14","377,91","368,14","298,47K","0,33%"
"19.08.2026","368,98","371,98","380,37","365,58","258,15K","0,15%"
"18.08.2026","368,44","376,21","389,70","365,78","350,44K","-2,60%"
"17.08.2026","378,28","385,23","392,39","375,51","440,31K","-2,09%"
"14.08.2026","386,36","384,30","392,16","376,00","455,40K","2,99%"
"13.08.2026","375,14","373,73","379,43","370,55","339,31K","0,78%"
"12.08.2026","372,22","381,14","384,43","372,15","273,80K","-1,27%"
"11.08.2026","377,00","385,00","389,00","374,69","306,11K","-1,36%"
"10.08.2026","382,21","384,74","392,52","381,67","211,10K","-1,22%"
"07.08.2026","386,93","392,82","396,02","385,44","210,28K","-1,44%"
"06.08.2026","392,57","395,60","399,26","391,24","168,02K","-0,58%"
"05.08.2026","394,88","391,49","400,97","391,49","204,71K","0,70%"
"04.08.2026","392,12","393,67","400,61","390,79","316,42K","-0,93%"
"03.08.2026","395,79","396,07","401,93","392,83","269,81K","-1,20%"
"31.07.2026","400,58","409,30","413,24","400,24","349,10K","-0,42%"
"30.07.2026","402,27","390,09","402,83","390,09","412,20K","4,78%"
"29.07.2026","383,93","390,61","391,88","380,43","201,18K","-1,29%"
"28.07.2026","388,95","381,07","393,18","381,07","199,64K","-0,52%"
"27.07.2026","390,99","392,28","395,59","383,98","175,56K","0,66%"
"24.07.2026","388,42","391,52","394,26","386,06","162,67K","0,20%"
"23.07.2026","387,63","390,38","393,02","385,12","169,77K","-1,53%"
"22.07.2026","393,67","391,61","394,27","386,20","703,89K","0,66%"
"21.07.2026","391,10","392,65","396,15","389,79","280,49K","1,10%"
