id,fecha,pais,sector,tipo_operacion,monto_usd,volumen_ton,empleados,arancel_pct,partida_arancelaria,num_factura
1,2022-02-06,Brasil,Minería,Exportación,671169.57,3573.2,490,14.67,5322.33.12,FAC-2022-40753
2,2024-11-12,Brasil,Manufactura,Exportación,330648.3,551.2,355,9.01,7833.27.52,FAC-2024-94602
3,2022-02-10,Brasil,Tecnología,Importación,457520.52,19.8,421,,5730.43.92,FAC-2022-20802
4,2024-07-01,España,Manufactura,Exportación,339201.7,284.8,325,11.05,1991.19.86,FAC-2024-99558
5,02/20/2023,Alemania,Educación,Exportación,50075.78,3.8,478,12.43,1741.76.83,FAC-2023-15004
6,2023-03-09,México,Finanzas,Importación,102756.01,0.0,460,,1293.40.68,FAC-2023-85992
7,2023-11-04,Argentina,Agroindustria,Importación,51053.08,1532.1,164,14.32,4789.40.17,FAC-2023-71000
8,2023-05-17,España,Minería,Exportación,767994.81,3386.9,50,21.05,8236.28.65,FAC-2023-74237
9,2022-11-18,Chile,Educación,Importación,20804.89,5.1,40,0.05,5937.64.99,FAC-2022-82845
10,10/18/2023,Argentina,Retail,Exportación,-206392.11,185.2,260,3.93,4646.90.48,FAC-2023-75700
11,2024-07-15,Ecuador,Logística,Exportación,118458.21,124.0,257,19.95,2417.66.93,FAC-2024-13711
12,2024-10-13,Argentina,Agroindustria,Exportación,31095.37,538.6,25,1.32%,8704.32.58,FAC-2024-52854
13,2023-01-24,Brasil,Manufactura,Importación,63916.66,47.3,33,23.87,9934.30.46,FAC-2023-24746
14,2022-12-28,USA,Educación,EXPORTACIÓN,61159.65,3.6,365,6.56,5598.99.19,FAC-2022-62621
15,2022-10-18,Chile,Minería,Importación,328610.75,2661.0,306,,6301.16.13,FAC-2022-95370
16,2023-10-03,Chile,Manufactura,Importación,394713.09,419.8,148,15.0,6520.69.60,FAC-2023-97854
17,2022-01-26,Brasil,Finanzas,Exportación,88904.07,0.0,442,20.18,8512.50.33,FAC-2022-15717
18,2024-07-16,  Ecuador  ,Manufactura,Importación,333947.12,131.5,171,0.3,7513.51.56,FAC-2024-44039
19,2023-07-07,Brasil,Manufactura,Exportación,241760.27,76.1,215,15.61,9275.22.85,FAC-2023-18817
20,10/27/2022,Alemania,Retail,Exportación,174143.47,147.7,396,16.0,2792.62.23,FAC-2022-72273
21,2022-07-25,España,Finanzas,Importación,,0.0,358,5.51,8622.31.15,FAC-2022-24114
22,2022-04-23,Argentina,Finanzas,Exportación,146411.53,0.0,21,11.78,1671.27.33,FAC-2022-65132
23,18 de enero 2024,Alemania,Manufactura,Exportación,242501.25,560.0,270,4.46,9006.37.22,FAC-2024-34340
24,2024-09-17,Argentina,Logística,Exportación,62067.53,50.4,368,18.51,9251.66.70,FAC-2024-77395
25,2022-03-25,Colombia,Educación,Importación,14473.41,7.0,92,14.41,1023.68.43,FAC-2022-43557
26,04/05/2022,España,Manufactura,Exportación,215379.01,720.3,236,17.73,6415.28.25,FAC-2022-36703
27,2023-07-18,Brasil,,Importación,123029.74,438.3,190,,2284.42.95,FAC-2023-35448
28,2024-08-09,México,Retail,Exportación,,194.7,74,18.18,2002.73.37,FAC-2024-50838
29,2022-08-20,Ecuador,Minería,Exportación,583911.27,3987.4,184,12.18,8513.95.53,FAC-2022-44454
30,2023-01-15,Colombia,Tecnología,Importación,625182.61,31.5,479,15.9,3453.23.89,FAC-2023-88737
31,2024-11-26,Colombia,Manufactura,Exportación,114414.57,446.2,65,24.05,3912.31.23,
32,05/20/2022,Brasil,Manufactura,Importación,146145.09,211.6,254,0.66,5325.31.30,FAC-2022-89504
33,2023-03-01,Ecuador,Tecnología,Importación,584574.56,,287,21.17,5032.15.42,FAC-2023-93275
34,2023-08-24,Alemania,Tecnología,Importación,496863.19,40.0,161,9.87,4735.94.42,
35,2023-05-11,COLOMBIA,Retail,Importación,214980.01,34.7,491,20.74,4431.73.60,FAC-2023-16076
36,2022-11-12,Chile,Manufactura,Importación,63392.97,765.8,-121,14.79,8690.84.61,FAC-2022-42029
37,2024-05-22,Chile,Manufactura,Importación,292859.08,283.7,495,8.87,6403.89.85,FAC-2024-32159
38,2022-10-11,Argentina,Tecnología,Importación,451176.22,8.9,432,,7423.66.18,FAC-2022-53399
39,2024-06-04,España,Finanzas,Importación,171391.71,0.0,197,22.46%,3349.38.76,FAC-2024-55224
40,2024-06-27,USA,Finanzas,Exportación,193686.22,0.0,267,6.33,3507.14.96,FAC-2024-43353
41,2023-11-05,Colombia,Tecnología,Importación,265159.3,5.9,272,23.87,6477.97.89,FAC-2023-91628
42,2024-01-15,Alemania,Logística,Exportación,105635.78,40.2,415,20.74,6078.83.39,FAC-2024-87449
43,2024-06-15,USA,Tecnología,Exportación,373778.11,23.7,74,18.55,0723.28.19,FAC-2024-86520
44,2022-10-28,Ecuador,Tecnología,Importación,171175.7,14.1,193,0.71,7373.28.82,FAC-2022-74517
45,2023-09-01,Argentina,Logística,Exportación,19858.78,505.6,224,18.82,8969.48.51,FAC-2023-84393
46,2024-10-25,Chile,Tecnología,Exportación,345768.64,17.4,323,17.27,2166.99.35,
47,2023-01-05,US,Logística,Exportación,117793.77,242.3,53,12.64,5110.85.82,FAC-2023-96827
48,2023-05-28,España,Finanzas,Exportación,222861.13,0.0,,0.25,7356.48.58,FAC-2023-29448
