"id","fecha","pais","sector","tipo_operacion","monto_usd","volumen_ton","empleados","arancel_pct","partida_arancelaria","num_factura"
1,"2022-02-06","BR","MINERÍA","EXPORTACIÓN",671169.57,3573.2,490,14.67,"5322.33.12","FAC-2022-40753"
2,"2024-11-12","BR","MANUFACTURA","EXPORTACIÓN",330648.3,551.2,355,9.01,"7833.27.52","FAC-2024-94602"
3,"2022-02-10","BR","TECNOLOGÍA","IMPORTACIÓN",457520.52,19.8,421,12.27,"5730.43.92","FAC-2022-20802"
4,"2024-07-01","ES","MANUFACTURA","EXPORTACIÓN",339201.7,284.8,325,11.05,"1991.19.86","FAC-2024-99558"
5,"02/20/2023","AL","EDUCACIÓN","EXPORTACIÓN",50075.78,3.8,478,12.43,"1741.76.83","FAC-2023-15004"
6,"2023-03-09","MÉ","FINANZAS","IMPORTACIÓN",102756.01,0,460,12.27,"1293.40.68","FAC-2023-85992"
7,"2023-11-04","AR","AGROINDUSTRIA","IMPORTACIÓN",51053.08,1532.1,164,14.32,"4789.40.17","FAC-2023-71000"
8,"2023-05-17","ES","MINERÍA","EXPORTACIÓN",767994.81,3386.9,50,21.05,"8236.28.65","FAC-2023-74237"
9,"2022-11-18","CH","EDUCACIÓN","IMPORTACIÓN",20804.89,5.1,40,0.05,"5937.64.99","FAC-2022-82845"
10,"10/18/2023","AR","RETAIL","EXPORTACIÓN",206392.11,185.2,260,3.93,"4646.90.48","FAC-2023-75700"
11,"2024-07-15","EC","LOGÍSTICA","EXPORTACIÓN",118458.21,124,257,19.95,"2417.66.93","FAC-2024-13711"
12,"2024-10-13","AR","AGROINDUSTRIA","EXPORTACIÓN",31095.37,538.6,25,12.27,"8704.32.58","FAC-2024-52854"
13,"2023-01-24","BR","MANUFACTURA","IMPORTACIÓN",63916.66,47.3,33,23.87,"9934.30.46","FAC-2023-24746"
14,"2022-12-28","US","EDUCACIÓN","EXPORTACIÓN",61159.65,3.6,365,6.56,"5598.99.19","FAC-2022-62621"
15,"2022-10-18","CH","MINERÍA","IMPORTACIÓN",328610.75,2661,306,12.27,"6301.16.13","FAC-2022-95370"
16,"2023-10-03","CH","MANUFACTURA","IMPORTACIÓN",394713.09,419.8,148,15,"6520.69.60","FAC-2023-97854"
17,"2022-01-26","BR","FINANZAS","EXPORTACIÓN",88904.07,0,442,20.18,"8512.50.33","FAC-2022-15717"
18,"2024-07-16","EC","MANUFACTURA","IMPORTACIÓN",333947.12,131.5,171,0.3,"7513.51.56","FAC-2024-44039"
19,"2023-07-07","BR","MANUFACTURA","EXPORTACIÓN",241760.27,76.1,215,15.61,"9275.22.85","FAC-2023-18817"
20,"10/27/2022","AL","RETAIL","EXPORTACIÓN",174143.47,147.7,396,16,"2792.62.23","FAC-2022-72273"
22,"2022-04-23","AR","FINANZAS","EXPORTACIÓN",146411.53,0,21,11.78,"1671.27.33","FAC-2022-65132"
